"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2014-02-18 09:35:14","Sunrise",808,246,2014,2,18,"09:35:14","2014-02-18","MBA6363664"
"2014-02-18 09:50:46","Sunrise",808,246,2014,2,18,"09:50:46","2014-02-18","MBA6363664"
"2014-02-18 10:06:19","Skyliner",1306,398,2014,2,18,"10:06:19","2014-02-18","MBA6363664"
"2014-02-18 10:21:33","Skyliner",1306,398,2014,2,18,"10:21:33","2014-02-18","MBA6363664"
"2014-02-18 10:37:42","Skyliner",1306,398,2014,2,18,"10:37:42","2014-02-18","MBA6363664"
"2014-02-18 10:54:45","Pine Marten",1367,416,2014,2,18,"10:54:45","2014-02-18","MBA6363664"
"2014-02-23 09:00:55","Pine Marten",1367,416,2014,2,23,"09:00:55","2014-02-23","MBA6363664"
"2014-02-23 09:13:48","Outback",1780,542,2014,2,23,"09:13:48","2014-02-23","MBA6363664"
"2014-02-23 09:35:42","Northwest",2377,724,2014,2,23,"09:35:42","2014-02-23","MBA6363664"
"2014-02-23 09:53:20","Northwest",2377,724,2014,2,23,"09:53:20","2014-02-23","MBA6363664"
"2014-02-23 10:21:27","Northwest",2377,724,2014,2,23,"10:21:27","2014-02-23","MBA6363664"
"2014-02-23 10:44:58","Summit",1709,520,2014,2,23,"10:44:58","2014-02-23","MBA6363664"
"2014-02-23 11:30:59","Northwest",2377,724,2014,2,23,"11:30:59","2014-02-23","MBA6363664"
"2014-02-23 11:47:56","Outback",1780,542,2014,2,23,"11:47:56","2014-02-23","MBA6363664"
"2014-04-13 10:05:21","Pine Marten",1367,416,2014,4,13,"10:05:21","2014-04-13","MBA6363664"
"2014-04-13 10:20:44","Northwest",2377,724,2014,4,13,"10:20:44","2014-04-13","MBA6363664"
"2014-04-13 10:41:22","Northwest",2377,724,2014,4,13,"10:41:22","2014-04-13","MBA6363664"
"2014-04-13 11:02:02","Northwest",2377,724,2014,4,13,"11:02:02","2014-04-13","MBA6363664"
"2014-04-13 11:29:35","Skyliner",1306,398,2014,4,13,"11:29:35","2014-04-13","MBA6363664"
"2014-04-13 11:48:37","Skyliner",1306,398,2014,4,13,"11:48:37","2014-04-13","MBA6363664"
"2014-12-14 09:39:28","Pine Marten",1367,416,2014,12,14,"09:39:28","2014-12-14","MBA6363664"
"2014-12-14 09:53:39","Pine Marten",1367,416,2014,12,14,"09:53:39","2014-12-14","MBA6363664"
"2014-12-14 10:06:15","Pine Marten",1367,416,2014,12,14,"10:06:15","2014-12-14","MBA6363664"
"2014-12-14 10:25:34","Skyliner",1306,398,2014,12,14,"10:25:34","2014-12-14","MBA6363664"
"2014-12-14 10:41:38","Skyliner",1306,398,2014,12,14,"10:41:38","2014-12-14","MBA6363664"
"2014-12-14 11:01:34","Skyliner",1306,398,2014,12,14,"11:01:34","2014-12-14","MBA6363664"
"2014-12-14 11:18:14","Sunrise",808,246,2014,12,14,"11:18:14","2014-12-14","MBA6363664"
"2014-12-14 11:31:16","Sunrise",808,246,2014,12,14,"11:31:16","2014-12-14","MBA6363664"
"2015-01-11 09:24:14","Pine Marten",1367,416,2015,1,11,"09:24:14","2015-01-11","MBA6363664"
"2015-01-11 09:47:15","Outback",1780,542,2015,1,11,"09:47:15","2015-01-11","MBA6363664"
"2015-01-11 10:03:47","Skyliner",1306,398,2015,1,11,"10:03:47","2015-01-11","MBA6363664"
"2015-01-11 10:18:23","Skyliner",1306,398,2015,1,11,"10:18:23","2015-01-11","MBA6363664"
"2015-01-11 10:41:39","Rainbow",1209,368,2015,1,11,"10:41:39","2015-01-11","MBA6363664"
"2015-01-11 10:59:38","Sunrise",808,246,2015,1,11,"10:59:38","2015-01-11","MBA6363664"
"2015-01-11 11:14:22","Sunrise",808,246,2015,1,11,"11:14:22","2015-01-11","MBA6363664"
"2015-02-01 08:56:17","Pine Marten",1367,416,2015,2,1,"08:56:17","2015-02-01","MBA6363664"
"2015-02-01 09:09:44","Skyliner",1306,398,2015,2,1,"09:09:44","2015-02-01","MBA6363664"
"2015-02-01 09:22:37","Skyliner",1306,398,2015,2,1,"09:22:37","2015-02-01","MBA6363664"
"2015-02-01 09:35:22","Skyliner",1306,398,2015,2,1,"09:35:22","2015-02-01","MBA6363664"
"2015-02-01 09:49:35","Pine Marten",1367,416,2015,2,1,"09:49:35","2015-02-01","MBA6363664"
"2015-02-01 10:10:49","Outback",1780,542,2015,2,1,"10:10:49","2015-02-01","MBA6363664"
"2015-02-01 10:26:46","Outback",1780,542,2015,2,1,"10:26:46","2015-02-01","MBA6363664"
"2015-02-01 10:43:04","Outback",1780,542,2015,2,1,"10:43:04","2015-02-01","MBA6363664"
"2015-03-28 09:15:23","Pine Marten",1367,416,2015,3,28,"09:15:23","2015-03-28","MBA6363664"
"2015-03-28 09:29:51","Pine Marten",1367,416,2015,3,28,"09:29:51","2015-03-28","MBA6363664"
"2015-03-28 09:46:51","Pine Marten",1367,416,2015,3,28,"09:46:51","2015-03-28","MBA6363664"
