"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2009-12-23 10:07:39","Pine Marten",1367,416,2009,12,23,"10:07:39","2009-12-23","MBA6365162"
"2009-12-23 10:34:48","Pine Marten",1367,416,2009,12,23,"10:34:48","2009-12-23","MBA6365162"
"2009-12-23 10:54:41","Skyliner",1306,398,2009,12,23,"10:54:41","2009-12-23","MBA6365162"
"2009-12-23 11:14:41","Skyliner",1306,398,2009,12,23,"11:14:41","2009-12-23","MBA6365162"
"2009-12-23 11:50:58","Sunrise",808,246,2009,12,23,"11:50:58","2009-12-23","MBA6365162"
"2009-12-23 12:06:28","Skyliner",1306,398,2009,12,23,"12:06:28","2009-12-23","MBA6365162"
"2009-12-23 12:25:48","Pine Marten",1367,416,2009,12,23,"12:25:48","2009-12-23","MBA6365162"
"2010-02-15 09:22:35","Pine Marten",1367,416,2010,2,15,"09:22:35","2010-02-15","MBA6365162"
"2010-02-15 09:41:58","Outback",1780,542,2010,2,15,"09:41:58","2010-02-15","MBA6365162"
"2010-02-15 09:55:18","Pine Marten",1367,416,2010,2,15,"09:55:18","2010-02-15","MBA6365162"
"2010-02-15 10:08:21","Skyliner",1306,398,2010,2,15,"10:08:21","2010-02-15","MBA6365162"
"2010-02-15 10:20:38","Skyliner",1306,398,2010,2,15,"10:20:38","2010-02-15","MBA6365162"
"2010-02-15 10:38:15","Pine Marten",1367,416,2010,2,15,"10:38:15","2010-02-15","MBA6365162"
"2010-02-15 10:52:07","Outback",1780,542,2010,2,15,"10:52:07","2010-02-15","MBA6365162"
"2010-02-15 11:06:31","Pine Marten",1367,416,2010,2,15,"11:06:31","2010-02-15","MBA6365162"
"2010-02-15 11:22:39","Skyliner",1306,398,2010,2,15,"11:22:39","2010-02-15","MBA6365162"
"2010-02-15 12:00:06","Pine Marten",1367,416,2010,2,15,"12:00:06","2010-02-15","MBA6365162"
"2010-02-15 12:16:32","Pine Marten",1367,416,2010,2,15,"12:16:32","2010-02-15","MBA6365162"
"2010-02-15 12:28:37","Pine Marten",1367,416,2010,2,15,"12:28:37","2010-02-15","MBA6365162"
"2010-02-15 12:41:20","Pine Marten",1367,416,2010,2,15,"12:41:20","2010-02-15","MBA6365162"
"2010-02-15 12:57:22","Pine Marten",1367,416,2010,2,15,"12:57:22","2010-02-15","MBA6365162"
"2010-02-15 13:08:35","Pine Marten",1367,416,2010,2,15,"13:08:35","2010-02-15","MBA6365162"
"2010-02-15 13:20:03","Pine Marten",1367,416,2010,2,15,"13:20:03","2010-02-15","MBA6365162"
"2010-02-15 13:32:20","Pine Marten",1367,416,2010,2,15,"13:32:20","2010-02-15","MBA6365162"
"2010-02-15 13:46:28","Pine Marten",1367,416,2010,2,15,"13:46:28","2010-02-15","MBA6365162"
"2010-02-28 09:24:14","Pine Marten",1367,416,2010,2,28,"09:24:14","2010-02-28","MBA6365162"
"2010-02-28 09:32:00","Pine Marten",1367,416,2010,2,28,"09:32:00","2010-02-28","MBA6365162"
"2010-02-28 09:41:30","Summit",1709,520,2010,2,28,"09:41:30","2010-02-28","MBA6365162"
"2010-02-28 09:54:56","Summit",1709,520,2010,2,28,"09:54:56","2010-02-28","MBA6365162"
"2010-02-28 10:17:01","Sunrise",808,246,2010,2,28,"10:17:01","2010-02-28","MBA6365162"
"2010-02-28 10:31:06","Skyliner",1306,398,2010,2,28,"10:31:06","2010-02-28","MBA6365162"
"2010-02-28 10:48:19","Pine Marten",1367,416,2010,2,28,"10:48:19","2010-02-28","MBA6365162"
"2010-02-28 11:02:19","Pine Marten",1367,416,2010,2,28,"11:02:19","2010-02-28","MBA6365162"
"2010-02-28 11:24:44","Pine Marten",1367,416,2010,2,28,"11:24:44","2010-02-28","MBA6365162"
"2010-02-28 11:41:56","Outback",1780,542,2010,2,28,"11:41:56","2010-02-28","MBA6365162"
"2010-02-28 11:57:49","Outback",1780,542,2010,2,28,"11:57:49","2010-02-28","MBA6365162"
"2010-04-01 09:25:47","Pine Marten",1367,416,2010,4,1,"09:25:47","2010-04-01","MBA6365162"
"2010-04-01 09:38:12","Pine Marten",1367,416,2010,4,1,"09:38:12","2010-04-01","MBA6365162"
"2010-04-01 09:57:13","Sunrise",808,246,2010,4,1,"09:57:13","2010-04-01","MBA6365162"
"2010-04-01 10:06:08","Rainbow",1209,368,2010,4,1,"10:06:08","2010-04-01","MBA6365162"
"2010-04-01 10:55:08","Sunrise",808,246,2010,4,1,"10:55:08","2010-04-01","MBA6365162"
"2010-04-01 11:24:51","Pine Marten",1367,416,2010,4,1,"11:24:51","2010-04-01","MBA6365162"
"2010-04-01 11:44:05","Northwest",2377,724,2010,4,1,"11:44:05","2010-04-01","MBA6365162"
"2010-11-29 10:12:33","Pine Marten",1367,416,2010,11,29,"10:12:33","2010-11-29","MBA6365162"
"2010-11-29 10:26:48","Pine Marten",1367,416,2010,11,29,"10:26:48","2010-11-29","MBA6365162"
"2010-11-29 10:42:08","Skyliner",1306,398,2010,11,29,"10:42:08","2010-11-29","MBA6365162"
"2010-11-29 10:57:37","Skyliner",1306,398,2010,11,29,"10:57:37","2010-11-29","MBA6365162"
"2010-11-29 11:11:45","Skyliner",1306,398,2010,11,29,"11:11:45","2010-11-29","MBA6365162"
"2010-11-29 11:55:20","Pine Marten",1367,416,2010,11,29,"11:55:20","2010-11-29","MBA6365162"
"2010-11-29 12:08:12","Pine Marten",1367,416,2010,11,29,"12:08:12","2010-11-29","MBA6365162"
"2010-11-29 12:22:44","Pine Marten",1367,416,2010,11,29,"12:22:44","2010-11-29","MBA6365162"
"2010-12-03 09:55:45","Pine Marten",1367,416,2010,12,3,"09:55:45","2010-12-03","MBA6365162"
"2010-12-03 10:12:55","Pine Marten",1367,416,2010,12,3,"10:12:55","2010-12-03","MBA6365162"
"2010-12-03 10:27:02","Skyliner",1306,398,2010,12,3,"10:27:02","2010-12-03","MBA6365162"
"2010-12-03 10:44:50","Skyliner",1306,398,2010,12,3,"10:44:50","2010-12-03","MBA6365162"
"2010-12-03 10:59:29","Skyliner",1306,398,2010,12,3,"10:59:29","2010-12-03","MBA6365162"
"2010-12-03 11:17:06","Skyliner",1306,398,2010,12,3,"11:17:06","2010-12-03","MBA6365162"
"2010-12-03 12:10:57","Pine Marten",1367,416,2010,12,3,"12:10:57","2010-12-03","MBA6365162"
"2010-12-03 12:24:43","Pine Marten",1367,416,2010,12,3,"12:24:43","2010-12-03","MBA6365162"
"2010-12-03 12:39:18","Pine Marten",1367,416,2010,12,3,"12:39:18","2010-12-03","MBA6365162"
"2010-12-03 13:01:16","Pine Marten",1367,416,2010,12,3,"13:01:16","2010-12-03","MBA6365162"
"2011-01-06 09:16:16","Pine Marten",1367,416,2011,1,6,"09:16:16","2011-01-06","MBA6365162"
