"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2005-11-18 09:13:32","Skyliner",1306,398,2005,11,18,"09:13:32","2005-11-18","MBA6364333"
"2005-11-18 10:28:26","Skyliner",1306,398,2005,11,18,"10:28:26","2005-11-18","MBA6364333"
"2005-11-18 10:39:44","Pine Marten",1367,416,2005,11,18,"10:39:44","2005-11-18","MBA6364333"
"2005-11-18 10:53:07","Pine Marten",1367,416,2005,11,18,"10:53:07","2005-11-18","MBA6364333"
"2005-11-18 12:13:27","Skyliner",1306,398,2005,11,18,"12:13:27","2005-11-18","MBA6364333"
"2005-11-18 12:55:26","Pine Marten",1367,416,2005,11,18,"12:55:26","2005-11-18","MBA6364333"
"2005-11-20 10:22:45","Sunrise",808,246,2005,11,20,"10:22:45","2005-11-20","MBA6364333"
"2005-11-20 10:50:09","Pine Marten",1367,416,2005,11,20,"10:50:09","2005-11-20","MBA6364333"
"2005-11-20 11:04:03","Outback",1780,542,2005,11,20,"11:04:03","2005-11-20","MBA6364333"
"2005-11-20 11:32:48","Pine Marten",1367,416,2005,11,20,"11:32:48","2005-11-20","MBA6364333"
"2005-11-20 12:05:45","Sunrise",808,246,2005,11,20,"12:05:45","2005-11-20","MBA6364333"
"2005-11-24 10:07:11","Sunrise",808,246,2005,11,24,"10:07:11","2005-11-24","MBA6364333"
"2005-11-24 10:16:20","Skyliner",1306,398,2005,11,24,"10:16:20","2005-11-24","MBA6364333"
"2005-11-24 10:30:22","Skyliner",1306,398,2005,11,24,"10:30:22","2005-11-24","MBA6364333"
"2005-11-24 10:44:30","Skyliner",1306,398,2005,11,24,"10:44:30","2005-11-24","MBA6364333"
"2005-11-26 09:25:44","Sunrise",808,246,2005,11,26,"09:25:44","2005-11-26","MBA6364333"
"2005-11-26 09:38:50","Skyliner",1306,398,2005,11,26,"09:38:50","2005-11-26","MBA6364333"
"2005-11-26 09:54:06","Skyliner",1306,398,2005,11,26,"09:54:06","2005-11-26","MBA6364333"
"2005-11-26 10:11:02","Skyliner",1306,398,2005,11,26,"10:11:02","2005-11-26","MBA6364333"
"2005-11-26 10:54:52","Skyliner",1306,398,2005,11,26,"10:54:52","2005-11-26","MBA6364333"
"2005-11-26 11:15:28","Skyliner",1306,398,2005,11,26,"11:15:28","2005-11-26","MBA6364333"
"2005-11-27 08:31:47","Skyliner",1306,398,2005,11,27,"08:31:47","2005-11-27","MBA6364333"
"2005-11-27 09:03:24","Skyliner",1306,398,2005,11,27,"09:03:24","2005-11-27","MBA6364333"
"2005-11-27 09:16:04","Pine Marten",1367,416,2005,11,27,"09:16:04","2005-11-27","MBA6364333"
"2005-11-27 09:31:09","Outback",1780,542,2005,11,27,"09:31:09","2005-11-27","MBA6364333"
"2005-11-27 09:46:38","Skyliner",1306,398,2005,11,27,"09:46:38","2005-11-27","MBA6364333"
"2005-11-27 10:30:02","Sunrise",808,246,2005,11,27,"10:30:02","2005-11-27","MBA6364333"
"2005-11-27 10:41:05","Skyliner",1306,398,2005,11,27,"10:41:05","2005-11-27","MBA6364333"
"2005-11-27 10:55:53","Skyliner",1306,398,2005,11,27,"10:55:53","2005-11-27","MBA6364333"
"2005-11-27 11:10:45","Skyliner",1306,398,2005,11,27,"11:10:45","2005-11-27","MBA6364333"
"2005-12-04 09:21:28","Pine Marten",1367,416,2005,12,4,"09:21:28","2005-12-04","MBA6364333"
"2005-12-04 10:54:09","Sunshine",257,78,2005,12,4,"10:54:09","2005-12-04","MBA6364333"
"2005-12-04 11:47:03","Sunrise",808,246,2005,12,4,"11:47:03","2005-12-04","MBA6364333"
"2005-12-18 09:21:40","Skyliner",1306,398,2005,12,18,"09:21:40","2005-12-18","MBA6364333"
"2005-12-18 10:14:07","Sunrise",808,246,2005,12,18,"10:14:07","2005-12-18","MBA6364333"
"2005-12-18 10:27:32","Sunshine",257,78,2005,12,18,"10:27:32","2005-12-18","MBA6364333"
"2005-12-18 10:33:19","Skyliner",1306,398,2005,12,18,"10:33:19","2005-12-18","MBA6364333"
