"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2010-04-04 14:29:20","Pine Marten",1367,416,2010,4,4,"14:29:20","2010-04-04","MBA6361967"
"2010-04-04 14:48:02","Pine Marten",1367,416,2010,4,4,"14:48:02","2010-04-04","MBA6361967"
"2010-04-04 15:04:04","Pine Marten",1367,416,2010,4,4,"15:04:04","2010-04-04","MBA6361967"
"2010-04-11 11:10:23","Pine Marten",1367,416,2010,4,11,"11:10:23","2010-04-11","MBA6361967"
"2010-04-11 11:24:43","Pine Marten",1367,416,2010,4,11,"11:24:43","2010-04-11","MBA6361967"
"2010-04-11 11:43:56","Sunrise",808,246,2010,4,11,"11:43:56","2010-04-11","MBA6361967"
"2010-04-11 11:54:48","Sunrise",808,246,2010,4,11,"11:54:48","2010-04-11","MBA6361967"
"2010-04-11 12:05:32","Rainbow",1209,368,2010,4,11,"12:05:32","2010-04-11","MBA6361967"
"2010-04-11 12:24:02","Sunrise",808,246,2010,4,11,"12:24:02","2010-04-11","MBA6361967"
"2010-04-11 12:33:22","Sunrise",808,246,2010,4,11,"12:33:22","2010-04-11","MBA6361967"
"2010-04-11 12:44:10","Pine Marten",1367,416,2010,4,11,"12:44:10","2010-04-11","MBA6361967"
"2010-04-15 09:41:51","Pine Marten",1367,416,2010,4,15,"09:41:51","2010-04-15","MBA6361967"
"2010-04-15 09:53:07","Pine Marten",1367,416,2010,4,15,"09:53:07","2010-04-15","MBA6361967"
"2010-04-15 10:03:03","Summit",1709,520,2010,4,15,"10:03:03","2010-04-15","MBA6361967"
"2010-04-25 11:57:08","Pine Marten",1367,416,2010,4,25,"11:57:08","2010-04-25","MBA6361967"
"2010-04-25 12:12:41","Pine Marten",1367,416,2010,4,25,"12:12:41","2010-04-25","MBA6361967"
"2010-04-25 12:22:42","Summit",1709,520,2010,4,25,"12:22:42","2010-04-25","MBA6361967"
"2010-05-02 10:31:58","Pine Marten",1367,416,2010,5,2,"10:31:58","2010-05-02","MBA6361967"
"2010-05-02 10:46:39","Pine Marten",1367,416,2010,5,2,"10:46:39","2010-05-02","MBA6361967"
"2010-05-02 11:00:35","Pine Marten",1367,416,2010,5,2,"11:00:35","2010-05-02","MBA6361967"
"2010-05-02 11:11:54","Summit",1709,520,2010,5,2,"11:11:54","2010-05-02","MBA6361967"
"2010-05-02 11:32:01","Pine Marten",1367,416,2010,5,2,"11:32:01","2010-05-02","MBA6361967"
"2010-05-06 09:47:22","Pine Marten",1367,416,2010,5,6,"09:47:22","2010-05-06","MBA6361967"
"2010-05-06 10:03:08","Skyliner",1306,398,2010,5,6,"10:03:08","2010-05-06","MBA6361967"
"2010-05-06 10:16:29","Skyliner",1306,398,2010,5,6,"10:16:29","2010-05-06","MBA6361967"
"2010-05-06 10:29:06","Skyliner",1306,398,2010,5,6,"10:29:06","2010-05-06","MBA6361967"
"2010-05-06 10:42:15","Skyliner",1306,398,2010,5,6,"10:42:15","2010-05-06","MBA6361967"
"2010-05-06 10:55:21","Skyliner",1306,398,2010,5,6,"10:55:21","2010-05-06","MBA6361967"
"2010-05-06 11:07:00","Skyliner",1306,398,2010,5,6,"11:07:00","2010-05-06","MBA6361967"
"2010-05-06 11:18:50","Skyliner",1306,398,2010,5,6,"11:18:50","2010-05-06","MBA6361967"
"2011-01-02 13:49:17","Sunrise",808,246,2011,1,2,"13:49:17","2011-01-02","MBA6361967"
"2011-01-02 14:08:15","Sunrise",808,246,2011,1,2,"14:08:15","2011-01-02","MBA6361967"
"2011-01-02 14:23:32","Sunrise",808,246,2011,1,2,"14:23:32","2011-01-02","MBA6361967"
"2011-01-02 14:39:14","Sunrise",808,246,2011,1,2,"14:39:14","2011-01-02","MBA6361967"
"2011-01-02 15:09:19","Sunrise",808,246,2011,1,2,"15:09:19","2011-01-02","MBA6361967"
"2011-01-02 15:22:28","Sunrise",808,246,2011,1,2,"15:22:28","2011-01-02","MBA6361967"
"2011-01-02 15:34:14","Sunrise",808,246,2011,1,2,"15:34:14","2011-01-02","MBA6361967"
"2011-01-08 12:42:21","Sunrise",808,246,2011,1,8,"12:42:21","2011-01-08","MBA6361967"
"2011-01-08 13:03:53","Sunrise",808,246,2011,1,8,"13:03:53","2011-01-08","MBA6361967"
"2011-01-08 13:28:24","Sunrise",808,246,2011,1,8,"13:28:24","2011-01-08","MBA6361967"
"2011-01-08 13:41:16","Skyliner",1306,398,2011,1,8,"13:41:16","2011-01-08","MBA6361967"
"2011-01-20 09:55:19","Sunrise",808,246,2011,1,20,"09:55:19","2011-01-20","MBA6361967"
"2011-01-20 10:07:16","Sunrise",808,246,2011,1,20,"10:07:16","2011-01-20","MBA6361967"
"2011-01-20 10:13:32","Summit",1709,520,2011,1,20,"10:13:32","2011-01-20","MBA6361967"
"2011-01-20 10:28:58","Sunrise",808,246,2011,1,20,"10:28:58","2011-01-20","MBA6361967"
"2011-01-20 10:39:59","Sunrise",808,246,2011,1,20,"10:39:59","2011-01-20","MBA6361967"
"2011-01-20 10:50:26","Sunrise",808,246,2011,1,20,"10:50:26","2011-01-20","MBA6361967"
"2011-01-20 10:56:23","Summit",1709,520,2011,1,20,"10:56:23","2011-01-20","MBA6361967"
"2011-01-23 13:29:01","Sunrise",808,246,2011,1,23,"13:29:01","2011-01-23","MBA6361967"
"2011-01-23 13:47:16","Sunrise",808,246,2011,1,23,"13:47:16","2011-01-23","MBA6361967"
"2011-01-23 14:47:26","Sunrise",808,246,2011,1,23,"14:47:26","2011-01-23","MBA6361967"
"2011-01-30 12:45:19","Sunrise",808,246,2011,1,30,"12:45:19","2011-01-30","MBA6361967"
"2011-01-30 13:07:04","Sunrise",808,246,2011,1,30,"13:07:04","2011-01-30","MBA6361967"
"2011-01-30 13:13:44","Summit",1709,520,2011,1,30,"13:13:44","2011-01-30","MBA6361967"
"2011-01-30 14:01:22","Sunrise",808,246,2011,1,30,"14:01:22","2011-01-30","MBA6361967"
"2011-01-30 14:17:11","Sunrise",808,246,2011,1,30,"14:17:11","2011-01-30","MBA6361967"
"2011-02-03 09:12:58","Sunrise",808,246,2011,2,3,"09:12:58","2011-02-03","MBA6361967"
"2011-02-03 09:22:32","Sunrise",808,246,2011,2,3,"09:22:32","2011-02-03","MBA6361967"
"2011-02-03 09:36:27","Skyliner",1306,398,2011,2,3,"09:36:27","2011-02-03","MBA6361967"
"2011-02-03 09:48:55","Skyliner",1306,398,2011,2,3,"09:48:55","2011-02-03","MBA6361967"
"2011-02-03 10:00:31","Sunrise",808,246,2011,2,3,"10:00:31","2011-02-03","MBA6361967"
"2011-02-03 10:09:45","Sunrise",808,246,2011,2,3,"10:09:45","2011-02-03","MBA6361967"
"2011-02-03 10:20:13","Sunrise",808,246,2011,2,3,"10:20:13","2011-02-03","MBA6361967"
"2011-02-03 10:26:14","Summit",1709,520,2011,2,3,"10:26:14","2011-02-03","MBA6361967"
"2011-02-03 10:36:41","Summit",1709,520,2011,2,3,"10:36:41","2011-02-03","MBA6361967"
"2011-02-03 10:45:37","Summit",1709,520,2011,2,3,"10:45:37","2011-02-03","MBA6361967"
"2011-02-03 10:56:44","Sunrise",808,246,2011,2,3,"10:56:44","2011-02-03","MBA6361967"
"2011-02-10 09:34:46","Sunrise",808,246,2011,2,10,"09:34:46","2011-02-10","MBA6361967"
"2011-02-10 09:43:22","Sunrise",808,246,2011,2,10,"09:43:22","2011-02-10","MBA6361967"
"2011-02-10 09:49:20","Summit",1709,520,2011,2,10,"09:49:20","2011-02-10","MBA6361967"
"2011-02-10 10:02:17","Sunrise",808,246,2011,2,10,"10:02:17","2011-02-10","MBA6361967"
"2011-02-10 10:11:58","Skyliner",1306,398,2011,2,10,"10:11:58","2011-02-10","MBA6361967"
"2011-02-10 10:24:30","Skyliner",1306,398,2011,2,10,"10:24:30","2011-02-10","MBA6361967"
"2011-02-10 10:35:42","Sunrise",808,246,2011,2,10,"10:35:42","2011-02-10","MBA6361967"
"2011-02-10 10:43:43","Sunrise",808,246,2011,2,10,"10:43:43","2011-02-10","MBA6361967"
"2011-02-10 10:55:35","Sunrise",808,246,2011,2,10,"10:55:35","2011-02-10","MBA6361967"
"2011-02-10 11:03:33","Sunrise",808,246,2011,2,10,"11:03:33","2011-02-10","MBA6361967"
"2011-02-10 11:10:58","Summit",1709,520,2011,2,10,"11:10:58","2011-02-10","MBA6361967"
"2011-03-19 13:43:42","Sunrise",808,246,2011,3,19,"13:43:42","2011-03-19","MBA6361967"
"2011-03-19 13:56:29","Sunrise",808,246,2011,3,19,"13:56:29","2011-03-19","MBA6361967"
"2011-03-19 14:31:19","Sunrise",808,246,2011,3,19,"14:31:19","2011-03-19","MBA6361967"
"2011-03-19 14:45:10","Sunrise",808,246,2011,3,19,"14:45:10","2011-03-19","MBA6361967"
"2011-04-03 12:17:45","Pine Marten",1367,416,2011,4,3,"12:17:45","2011-04-03","MBA6361967"
"2011-04-03 12:51:35","Sunrise",808,246,2011,4,3,"12:51:35","2011-04-03","MBA6361967"
"2011-04-03 13:18:08","Sunrise",808,246,2011,4,3,"13:18:08","2011-04-03","MBA6361967"
"2011-04-03 13:34:03","Sunrise",808,246,2011,4,3,"13:34:03","2011-04-03","MBA6361967"
"2011-04-03 13:45:19","Sunrise",808,246,2011,4,3,"13:45:19","2011-04-03","MBA6361967"
"2011-04-03 14:08:10","Sunrise",808,246,2011,4,3,"14:08:10","2011-04-03","MBA6361967"
"2011-04-17 12:01:52","Pine Marten",1367,416,2011,4,17,"12:01:52","2011-04-17","MBA6361967"
"2011-04-17 12:29:21","Sunrise",808,246,2011,4,17,"12:29:21","2011-04-17","MBA6361967"
"2011-04-17 12:41:23","Sunrise",808,246,2011,4,17,"12:41:23","2011-04-17","MBA6361967"
"2011-04-17 12:55:20","Sunrise",808,246,2011,4,17,"12:55:20","2011-04-17","MBA6361967"
"2011-04-17 13:13:24","Skyliner",1306,398,2011,4,17,"13:13:24","2011-04-17","MBA6361967"
"2011-04-23 13:12:57","Pine Marten",1367,416,2011,4,23,"13:12:57","2011-04-23","MBA6361967"
"2011-04-23 13:36:13","Sunrise",808,246,2011,4,23,"13:36:13","2011-04-23","MBA6361967"
"2011-04-23 13:48:21","Sunrise",808,246,2011,4,23,"13:48:21","2011-04-23","MBA6361967"
"2011-04-23 14:00:38","Sunrise",808,246,2011,4,23,"14:00:38","2011-04-23","MBA6361967"
"2011-04-23 14:14:07","Sunrise",808,246,2011,4,23,"14:14:07","2011-04-23","MBA6361967"
"2011-04-23 14:32:31","Sunrise",808,246,2011,4,23,"14:32:31","2011-04-23","MBA6361967"
"2011-04-23 14:44:16","Sunrise",808,246,2011,4,23,"14:44:16","2011-04-23","MBA6361967"
"2011-05-01 12:03:15","Pine Marten",1367,416,2011,5,1,"12:03:15","2011-05-01","MBA6361967"
"2011-05-01 12:28:47","Pine Marten",1367,416,2011,5,1,"12:28:47","2011-05-01","MBA6361967"
"2011-05-14 11:17:28","Pine Marten",1367,416,2011,5,14,"11:17:28","2011-05-14","MBA6361967"
"2011-05-14 11:44:22","Skyliner",1306,398,2011,5,14,"11:44:22","2011-05-14","MBA6361967"
"2011-05-14 12:05:41","Skyliner",1306,398,2011,5,14,"12:05:41","2011-05-14","MBA6361967"
"2011-05-14 12:27:48","Skyliner",1306,398,2011,5,14,"12:27:48","2011-05-14","MBA6361967"
"2011-05-22 11:15:04","Pine Marten",1367,416,2011,5,22,"11:15:04","2011-05-22","MBA6361967"
"2011-05-22 11:36:31","Skyliner",1306,398,2011,5,22,"11:36:31","2011-05-22","MBA6361967"
"2011-05-22 11:59:57","Skyliner",1306,398,2011,5,22,"11:59:57","2011-05-22","MBA6361967"
"2011-05-22 12:21:59","Skyliner",1306,398,2011,5,22,"12:21:59","2011-05-22","MBA6361967"
"2012-01-08 10:17:46","Sunrise",808,246,2012,1,8,"10:17:46","2012-01-08","MBA6361967"
"2012-01-08 10:43:32","Sunrise",808,246,2012,1,8,"10:43:32","2012-01-08","MBA6361967"
"2012-01-08 11:00:48","Sunrise",808,246,2012,1,8,"11:00:48","2012-01-08","MBA6361967"
"2012-01-08 11:19:31","Sunrise",808,246,2012,1,8,"11:19:31","2012-01-08","MBA6361967"
"2012-01-08 11:36:44","Sunrise",808,246,2012,1,8,"11:36:44","2012-01-08","MBA6361967"
"2012-01-08 11:49:11","Sunrise",808,246,2012,1,8,"11:49:11","2012-01-08","MBA6361967"
"2012-01-08 12:03:31","Sunrise",808,246,2012,1,8,"12:03:31","2012-01-08","MBA6361967"
"2012-01-22 10:10:37","Sunrise",808,246,2012,1,22,"10:10:37","2012-01-22","MBA6361967"
"2012-01-22 10:33:42","Sunrise",808,246,2012,1,22,"10:33:42","2012-01-22","MBA6361967"
"2012-01-22 10:52:47","Sunrise",808,246,2012,1,22,"10:52:47","2012-01-22","MBA6361967"
"2012-01-22 12:16:09","Sunrise",808,246,2012,1,22,"12:16:09","2012-01-22","MBA6361967"
"2012-01-29 09:58:34","Sunrise",808,246,2012,1,29,"09:58:34","2012-01-29","MBA6361967"
"2012-01-29 10:16:21","Sunrise",808,246,2012,1,29,"10:16:21","2012-01-29","MBA6361967"
"2012-01-29 10:33:11","Sunrise",808,246,2012,1,29,"10:33:11","2012-01-29","MBA6361967"
"2012-01-29 10:49:06","Sunrise",808,246,2012,1,29,"10:49:06","2012-01-29","MBA6361967"
"2012-01-29 11:05:49","Sunrise",808,246,2012,1,29,"11:05:49","2012-01-29","MBA6361967"
"2012-01-29 12:05:58","Sunrise",808,246,2012,1,29,"12:05:58","2012-01-29","MBA6361967"
"2012-01-29 12:19:51","Sunrise",808,246,2012,1,29,"12:19:51","2012-01-29","MBA6361967"
"2012-01-29 12:35:36","Skyliner",1306,398,2012,1,29,"12:35:36","2012-01-29","MBA6361967"
"2012-01-29 12:59:35","Sunrise",808,246,2012,1,29,"12:59:35","2012-01-29","MBA6361967"
"2012-01-29 13:22:43","Sunrise",808,246,2012,1,29,"13:22:43","2012-01-29","MBA6361967"
"2012-02-12 09:59:10","Sunrise",808,246,2012,2,12,"09:59:10","2012-02-12","MBA6361967"
"2012-02-12 10:18:55","Sunrise",808,246,2012,2,12,"10:18:55","2012-02-12","MBA6361967"
"2012-02-12 10:39:05","Sunrise",808,246,2012,2,12,"10:39:05","2012-02-12","MBA6361967"
"2012-02-12 10:56:07","Sunrise",808,246,2012,2,12,"10:56:07","2012-02-12","MBA6361967"
"2012-02-12 11:18:57","Sunrise",808,246,2012,2,12,"11:18:57","2012-02-12","MBA6361967"
"2012-02-12 12:29:35","Sunrise",808,246,2012,2,12,"12:29:35","2012-02-12","MBA6361967"
"2012-02-12 12:48:16","Sunrise",808,246,2012,2,12,"12:48:16","2012-02-12","MBA6361967"
"2012-02-12 12:55:43","Summit",1709,520,2012,2,12,"12:55:43","2012-02-12","MBA6361967"
"2012-02-12 13:24:59","Sunrise",808,246,2012,2,12,"13:24:59","2012-02-12","MBA6361967"
"2012-02-12 13:45:55","Sunrise",808,246,2012,2,12,"13:45:55","2012-02-12","MBA6361967"
"2012-02-12 14:01:05","Sunrise",808,246,2012,2,12,"14:01:05","2012-02-12","MBA6361967"
"2012-02-12 14:18:03","Sunrise",808,246,2012,2,12,"14:18:03","2012-02-12","MBA6361967"
"2012-02-26 09:58:59","Sunrise",808,246,2012,2,26,"09:58:59","2012-02-26","MBA6361967"
"2012-02-26 10:11:32","Sunrise",808,246,2012,2,26,"10:11:32","2012-02-26","MBA6361967"
"2012-02-26 10:25:01","Sunrise",808,246,2012,2,26,"10:25:01","2012-02-26","MBA6361967"
"2012-02-26 10:39:34","Sunrise",808,246,2012,2,26,"10:39:34","2012-02-26","MBA6361967"
"2012-02-26 10:56:43","Sunrise",808,246,2012,2,26,"10:56:43","2012-02-26","MBA6361967"
"2012-02-26 11:09:52","Sunrise",808,246,2012,2,26,"11:09:52","2012-02-26","MBA6361967"
"2012-02-26 12:28:55","Sunrise",808,246,2012,2,26,"12:28:55","2012-02-26","MBA6361967"
"2012-02-26 12:42:55","Sunrise",808,246,2012,2,26,"12:42:55","2012-02-26","MBA6361967"
"2012-02-26 12:57:02","Sunrise",808,246,2012,2,26,"12:57:02","2012-02-26","MBA6361967"
"2012-02-26 13:11:42","Sunrise",808,246,2012,2,26,"13:11:42","2012-02-26","MBA6361967"
"2012-02-26 13:27:02","Sunrise",808,246,2012,2,26,"13:27:02","2012-02-26","MBA6361967"
"2012-02-26 13:41:02","Sunrise",808,246,2012,2,26,"13:41:02","2012-02-26","MBA6361967"
"2012-03-18 10:01:21","Sunrise",808,246,2012,3,18,"10:01:21","2012-03-18","MBA6361967"
"2012-03-18 10:21:11","Sunrise",808,246,2012,3,18,"10:21:11","2012-03-18","MBA6361967"
"2012-03-18 10:38:04","Sunrise",808,246,2012,3,18,"10:38:04","2012-03-18","MBA6361967"
"2012-03-18 10:51:38","Sunrise",808,246,2012,3,18,"10:51:38","2012-03-18","MBA6361967"
"2012-03-18 11:06:10","Sunrise",808,246,2012,3,18,"11:06:10","2012-03-18","MBA6361967"
"2012-03-18 12:19:11","Sunrise",808,246,2012,3,18,"12:19:11","2012-03-18","MBA6361967"
"2012-03-18 12:39:18","Sunrise",808,246,2012,3,18,"12:39:18","2012-03-18","MBA6361967"
"2012-03-18 12:53:43","Sunrise",808,246,2012,3,18,"12:53:43","2012-03-18","MBA6361967"
"2012-03-18 13:05:18","Sunrise",808,246,2012,3,18,"13:05:18","2012-03-18","MBA6361967"
"2012-03-18 13:19:53","Sunrise",808,246,2012,3,18,"13:19:53","2012-03-18","MBA6361967"
"2012-03-18 13:33:41","Sunrise",808,246,2012,3,18,"13:33:41","2012-03-18","MBA6361967"
"2012-04-15 11:13:51","Pine Marten",1367,416,2012,4,15,"11:13:51","2012-04-15","MBA6361967"
"2012-04-15 11:34:15","Pine Marten",1367,416,2012,4,15,"11:34:15","2012-04-15","MBA6361967"
"2012-04-15 11:52:10","Pine Marten",1367,416,2012,4,15,"11:52:10","2012-04-15","MBA6361967"
"2012-04-15 12:09:39","Pine Marten",1367,416,2012,4,15,"12:09:39","2012-04-15","MBA6361967"
"2012-04-15 12:27:27","Pine Marten",1367,416,2012,4,15,"12:27:27","2012-04-15","MBA6361967"
"2012-04-15 12:45:05","Pine Marten",1367,416,2012,4,15,"12:45:05","2012-04-15","MBA6361967"
"2013-01-06 09:57:36","Sunrise",808,246,2013,1,6,"09:57:36","2013-01-06","MBA6361967"
"2013-01-06 10:16:29","Sunrise",808,246,2013,1,6,"10:16:29","2013-01-06","MBA6361967"
"2013-01-06 10:36:59","Sunrise",808,246,2013,1,6,"10:36:59","2013-01-06","MBA6361967"
"2013-01-06 10:51:50","Sunrise",808,246,2013,1,6,"10:51:50","2013-01-06","MBA6361967"
"2013-01-06 11:07:14","Sunrise",808,246,2013,1,6,"11:07:14","2013-01-06","MBA6361967"
"2013-01-06 11:22:15","Sunrise",808,246,2013,1,6,"11:22:15","2013-01-06","MBA6361967"
"2013-01-06 11:29:02","Summit",1709,520,2013,1,6,"11:29:02","2013-01-06","MBA6361967"
"2013-01-06 12:45:09","Sunrise",808,246,2013,1,6,"12:45:09","2013-01-06","MBA6361967"
"2013-01-06 13:05:55","Sunrise",808,246,2013,1,6,"13:05:55","2013-01-06","MBA6361967"
"2013-01-06 13:19:55","Sunrise",808,246,2013,1,6,"13:19:55","2013-01-06","MBA6361967"
"2013-01-06 13:36:01","Sunrise",808,246,2013,1,6,"13:36:01","2013-01-06","MBA6361967"
"2013-01-06 13:47:21","Sunrise",808,246,2013,1,6,"13:47:21","2013-01-06","MBA6361967"
"2013-01-13 10:20:38","Sunrise",808,246,2013,1,13,"10:20:38","2013-01-13","MBA6361967"
"2013-01-13 10:45:39","Sunrise",808,246,2013,1,13,"10:45:39","2013-01-13","MBA6361967"
"2013-01-13 10:52:32","Summit",1709,520,2013,1,13,"10:52:32","2013-01-13","MBA6361967"
"2013-01-13 11:18:16","Sunrise",808,246,2013,1,13,"11:18:16","2013-01-13","MBA6361967"
"2013-01-13 11:28:56","Sunrise",808,246,2013,1,13,"11:28:56","2013-01-13","MBA6361967"
"2013-01-13 11:41:07","Sunrise",808,246,2013,1,13,"11:41:07","2013-01-13","MBA6361967"
"2013-01-13 12:30:34","Sunrise",808,246,2013,1,13,"12:30:34","2013-01-13","MBA6361967"
"2013-01-13 12:42:58","Skyliner",1306,398,2013,1,13,"12:42:58","2013-01-13","MBA6361967"
"2013-01-13 12:59:14","Skyliner",1306,398,2013,1,13,"12:59:14","2013-01-13","MBA6361967"
"2013-01-13 13:14:34","Skyliner",1306,398,2013,1,13,"13:14:34","2013-01-13","MBA6361967"
"2013-01-13 13:31:07","Sunrise",808,246,2013,1,13,"13:31:07","2013-01-13","MBA6361967"
