"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2010-04-05 09:58:10","Pine Marten",1367,416,2010,4,5,"09:58:10","2010-04-05","MBA6364510"
"2010-04-05 10:38:09","Northwest",2377,724,2010,4,5,"10:38:09","2010-04-05","MBA6364510"
"2010-04-05 10:59:59","Northwest",2377,724,2010,4,5,"10:59:59","2010-04-05","MBA6364510"
"2010-04-05 11:21:48","Northwest",2377,724,2010,4,5,"11:21:48","2010-04-05","MBA6364510"
"2010-04-05 11:50:45","Northwest",2377,724,2010,4,5,"11:50:45","2010-04-05","MBA6364510"
"2010-04-05 12:15:10","Northwest",2377,724,2010,4,5,"12:15:10","2010-04-05","MBA6364510"
"2010-04-05 12:47:20","Northwest",2377,724,2010,4,5,"12:47:20","2010-04-05","MBA6364510"
"2010-04-28 09:23:14","Pine Marten",1367,416,2010,4,28,"09:23:14","2010-04-28","MBA6364510"
"2010-04-28 09:39:04","Pine Marten",1367,416,2010,4,28,"09:39:04","2010-04-28","MBA6364510"
"2010-04-28 09:53:43","Pine Marten",1367,416,2010,4,28,"09:53:43","2010-04-28","MBA6364510"
"2010-04-28 10:11:18","Skyliner",1306,398,2010,4,28,"10:11:18","2010-04-28","MBA6364510"
"2010-04-28 10:36:38","Skyliner",1306,398,2010,4,28,"10:36:38","2010-04-28","MBA6364510"
"2010-04-28 10:59:30","Pine Marten",1367,416,2010,4,28,"10:59:30","2010-04-28","MBA6364510"
"2010-04-28 11:13:30","Pine Marten",1367,416,2010,4,28,"11:13:30","2010-04-28","MBA6364510"
"2010-12-04 09:37:07","Pine Marten",1367,416,2010,12,4,"09:37:07","2010-12-04","MBA6364510"
"2010-12-04 09:56:53","Outback",1780,542,2010,12,4,"09:56:53","2010-12-04","MBA6364510"
"2010-12-04 10:19:29","Outback",1780,542,2010,12,4,"10:19:29","2010-12-04","MBA6364510"
"2010-12-04 10:48:02","Outback",1780,542,2010,12,4,"10:48:02","2010-12-04","MBA6364510"
"2010-12-04 11:11:04","Outback",1780,542,2010,12,4,"11:11:04","2010-12-04","MBA6364510"
"2010-12-04 11:39:34","Outback",1780,542,2010,12,4,"11:39:34","2010-12-04","MBA6364510"
"2010-12-04 12:04:12","Outback",1780,542,2010,12,4,"12:04:12","2010-12-04","MBA6364510"
"2010-12-15 09:14:22","Pine Marten",1367,416,2010,12,15,"09:14:22","2010-12-15","MBA6364510"
"2010-12-15 09:31:50","Outback",1780,542,2010,12,15,"09:31:50","2010-12-15","MBA6364510"
"2010-12-15 09:54:17","Outback",1780,542,2010,12,15,"09:54:17","2010-12-15","MBA6364510"
"2010-12-15 10:17:54","Skyliner",1306,398,2010,12,15,"10:17:54","2010-12-15","MBA6364510"
"2010-12-15 10:33:00","Sunshine",257,78,2010,12,15,"10:33:00","2010-12-15","MBA6364510"
"2010-12-15 10:41:21","Pine Marten",1367,416,2010,12,15,"10:41:21","2010-12-15","MBA6364510"
"2010-12-15 11:02:05","Outback",1780,542,2010,12,15,"11:02:05","2010-12-15","MBA6364510"
"2010-12-15 11:33:45","Outback",1780,542,2010,12,15,"11:33:45","2010-12-15","MBA6364510"
"2010-12-15 12:56:38","Outback",1780,542,2010,12,15,"12:56:38","2010-12-15","MBA6364510"
"2010-12-18 08:41:25","Pine Marten",1367,416,2010,12,18,"08:41:25","2010-12-18","MBA6364510"
"2010-12-18 09:11:12","Outback",1780,542,2010,12,18,"09:11:12","2010-12-18","MBA6364510"
"2010-12-18 09:30:43","Northwest",2377,724,2010,12,18,"09:30:43","2010-12-18","MBA6364510"
"2010-12-18 09:55:49","Northwest",2377,724,2010,12,18,"09:55:49","2010-12-18","MBA6364510"
