"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2009-04-04 10:23:00","Pine Marten",1367,416,2009,4,4,"10:23:00","2009-04-04","MBA6364618"
"2009-04-04 10:39:00","Northwest",2377,724,2009,4,4,"10:39:00","2009-04-04","MBA6364618"
"2009-04-04 10:59:00","Northwest",2377,724,2009,4,4,"10:59:00","2009-04-04","MBA6364618"
"2009-04-04 11:23:00","Northwest",2377,724,2009,4,4,"11:23:00","2009-04-04","MBA6364618"
"2009-04-04 12:36:00","Northwest",2377,724,2009,4,4,"12:36:00","2009-04-04","MBA6364618"
"2009-04-04 12:58:00","Northwest",2377,724,2009,4,4,"12:58:00","2009-04-04","MBA6364618"
"2009-04-04 13:18:00","Northwest",2377,724,2009,4,4,"13:18:00","2009-04-04","MBA6364618"
"2009-04-04 13:42:00","Northwest",2377,724,2009,4,4,"13:42:00","2009-04-04","MBA6364618"
"2009-04-05 10:25:00","Pine Marten",1367,416,2009,4,5,"10:25:00","2009-04-05","MBA6364618"
"2009-04-05 10:45:00","Pine Marten",1367,416,2009,4,5,"10:45:00","2009-04-05","MBA6364618"
"2009-04-05 11:04:00","Northwest",2377,724,2009,4,5,"11:04:00","2009-04-05","MBA6364618"
"2009-04-05 11:24:00","Northwest",2377,724,2009,4,5,"11:24:00","2009-04-05","MBA6364618"
"2009-04-05 11:47:00","Northwest",2377,724,2009,4,5,"11:47:00","2009-04-05","MBA6364618"
"2009-04-05 12:13:00","Northwest",2377,724,2009,4,5,"12:13:00","2009-04-05","MBA6364618"
"2009-04-11 10:35:00","Pine Marten",1367,416,2009,4,11,"10:35:00","2009-04-11","MBA6364618"
"2009-04-11 10:52:00","Northwest",2377,724,2009,4,11,"10:52:00","2009-04-11","MBA6364618"
"2009-04-11 11:18:00","Northwest",2377,724,2009,4,11,"11:18:00","2009-04-11","MBA6364618"
"2009-04-11 11:38:00","Northwest",2377,724,2009,4,11,"11:38:00","2009-04-11","MBA6364618"
"2009-04-11 12:42:00","Summit",1709,520,2009,4,11,"12:42:00","2009-04-11","MBA6364618"
"2009-04-11 12:58:00","Sunrise",808,246,2009,4,11,"12:58:00","2009-04-11","MBA6364618"
"2009-04-11 13:03:00","Summit",1709,520,2009,4,11,"13:03:00","2009-04-11","MBA6364618"
"2009-04-11 13:21:00","Sunrise",808,246,2009,4,11,"13:21:00","2009-04-11","MBA6364618"
"2009-04-11 13:30:00","Sunrise",808,246,2009,4,11,"13:30:00","2009-04-11","MBA6364618"
"2009-04-11 13:39:00","Skyliner",1306,398,2009,4,11,"13:39:00","2009-04-11","MBA6364618"
"2009-05-16 09:52:08","Skyliner",1306,398,2009,5,16,"09:52:08","2009-05-16","MBA6364618"
"2009-05-16 10:01:00","Summit",1709,520,2009,5,16,"10:01:00","2009-05-16","MBA6364618"
"2009-05-16 10:14:00","Summit",1709,520,2009,5,16,"10:14:00","2009-05-16","MBA6364618"
"2009-05-16 10:28:00","Summit",1709,520,2009,5,16,"10:28:00","2009-05-16","MBA6364618"
"2009-05-16 10:41:00","Summit",1709,520,2009,5,16,"10:41:00","2009-05-16","MBA6364618"
"2009-05-16 10:55:00","Summit",1709,520,2009,5,16,"10:55:00","2009-05-16","MBA6364618"
"2009-05-17 08:41:14","Skyliner",1306,398,2009,5,17,"08:41:14","2009-05-17","MBA6364618"
"2009-05-17 08:50:00","Summit",1709,520,2009,5,17,"08:50:00","2009-05-17","MBA6364618"
"2009-05-17 09:04:00","Summit",1709,520,2009,5,17,"09:04:00","2009-05-17","MBA6364618"
"2009-05-17 09:19:00","Summit",1709,520,2009,5,17,"09:19:00","2009-05-17","MBA6364618"
"2009-05-17 09:35:00","Summit",1709,520,2009,5,17,"09:35:00","2009-05-17","MBA6364618"
"2010-12-03 09:25:19","Pine Marten",1367,416,2010,12,3,"09:25:19","2010-12-03","MBA6364618"
"2010-12-03 09:36:32","Pine Marten",1367,416,2010,12,3,"09:36:32","2010-12-03","MBA6364618"
"2010-12-03 09:48:54","Pine Marten",1367,416,2010,12,3,"09:48:54","2010-12-03","MBA6364618"
"2010-12-03 10:02:43","Pine Marten",1367,416,2010,12,3,"10:02:43","2010-12-03","MBA6364618"
"2010-12-03 10:16:42","Pine Marten",1367,416,2010,12,3,"10:16:42","2010-12-03","MBA6364618"
"2010-12-03 10:31:29","Skyliner",1306,398,2010,12,3,"10:31:29","2010-12-03","MBA6364618"
"2010-12-03 10:45:25","Sunshine",257,78,2010,12,3,"10:45:25","2010-12-03","MBA6364618"
"2010-12-03 10:57:32","Pine Marten",1367,416,2010,12,3,"10:57:32","2010-12-03","MBA6364618"
"2010-12-03 11:14:22","Pine Marten",1367,416,2010,12,3,"11:14:22","2010-12-03","MBA6364618"
"2010-12-03 11:30:07","Pine Marten",1367,416,2010,12,3,"11:30:07","2010-12-03","MBA6364618"
"2010-12-03 11:44:20","Sunshine",257,78,2010,12,3,"11:44:20","2010-12-03","MBA6364618"
"2010-12-03 12:59:38","Pine Marten",1367,416,2010,12,3,"12:59:38","2010-12-03","MBA6364618"
"2010-12-03 13:14:37","Pine Marten",1367,416,2010,12,3,"13:14:37","2010-12-03","MBA6364618"
"2010-12-03 13:29:12","Pine Marten",1367,416,2010,12,3,"13:29:12","2010-12-03","MBA6364618"
"2010-12-04 09:26:01","Skyliner",1306,398,2010,12,4,"09:26:01","2010-12-04","MBA6364618"
"2010-12-04 09:40:25","Pine Marten",1367,416,2010,12,4,"09:40:25","2010-12-04","MBA6364618"
"2010-12-04 09:54:19","Outback",1780,542,2010,12,4,"09:54:19","2010-12-04","MBA6364618"
"2010-12-04 10:12:03","Outback",1780,542,2010,12,4,"10:12:03","2010-12-04","MBA6364618"
"2010-12-04 10:30:34","Outback",1780,542,2010,12,4,"10:30:34","2010-12-04","MBA6364618"
"2010-12-04 10:45:31","Pine Marten",1367,416,2010,12,4,"10:45:31","2010-12-04","MBA6364618"
