"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2006-01-01 09:31:40","Sunshine",257,78,2006,1,1,"09:31:40","2006-01-01","MBA6364972"
"2006-01-01 10:15:41","Sunshine",257,78,2006,1,1,"10:15:41","2006-01-01","MBA6364972"
"2006-01-01 10:42:55","Sunshine",257,78,2006,1,1,"10:42:55","2006-01-01","MBA6364972"
"2006-01-01 11:05:32","Sunshine",257,78,2006,1,1,"11:05:32","2006-01-01","MBA6364972"
"2006-01-01 11:37:53","Sunshine",257,78,2006,1,1,"11:37:53","2006-01-01","MBA6364972"
"2006-01-27 12:30:49","Sunshine",257,78,2006,1,27,"12:30:49","2006-01-27","MBA6364972"
"2006-01-27 12:56:35","Sunshine",257,78,2006,1,27,"12:56:35","2006-01-27","MBA6364972"
"2006-01-27 13:21:56","Sunshine",257,78,2006,1,27,"13:21:56","2006-01-27","MBA6364972"
"2006-01-28 12:08:12","Sunrise",808,246,2006,1,28,"12:08:12","2006-01-28","MBA6364972"
"2006-01-28 12:37:10","Sunrise",808,246,2006,1,28,"12:37:10","2006-01-28","MBA6364972"
"2006-01-28 12:59:36","Sunrise",808,246,2006,1,28,"12:59:36","2006-01-28","MBA6364972"
"2006-03-26 10:45:33","Carosuel",171,52,2006,3,26,"10:45:33","2006-03-26","MBA6364972"
"2006-03-26 10:57:09","Carosuel",171,52,2006,3,26,"10:57:09","2006-03-26","MBA6364972"
"2006-03-26 11:06:38","Carosuel",171,52,2006,3,26,"11:06:38","2006-03-26","MBA6364972"
"2006-03-26 11:16:06","Carosuel",171,52,2006,3,26,"11:16:06","2006-03-26","MBA6364972"
"2006-03-26 11:27:10","Carosuel",171,52,2006,3,26,"11:27:10","2006-03-26","MBA6364972"
"2006-03-26 11:37:07","Carosuel",171,52,2006,3,26,"11:37:07","2006-03-26","MBA6364972"
"2006-03-26 11:48:50","Carosuel",171,52,2006,3,26,"11:48:50","2006-03-26","MBA6364972"
"2006-03-26 12:00:43","Carosuel",171,52,2006,3,26,"12:00:43","2006-03-26","MBA6364972"
