"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2013-03-07 10:15:06","Pine Marten",1367,416,2013,3,7,"10:15:06","2013-03-07","MBA6362269"
"2013-03-07 10:33:59","Pine Marten",1367,416,2013,3,7,"10:33:59","2013-03-07","MBA6362269"
"2013-03-07 10:56:19","Outback",1780,542,2013,3,7,"10:56:19","2013-03-07","MBA6362269"
"2013-03-07 11:22:21","Northwest",2377,724,2013,3,7,"11:22:21","2013-03-07","MBA6362269"
"2013-03-07 11:50:11","Outback",1780,542,2013,3,7,"11:50:11","2013-03-07","MBA6362269"
"2013-03-07 12:30:59","Outback",1780,542,2013,3,7,"12:30:59","2013-03-07","MBA6362269"
"2013-03-07 13:02:38","Northwest",2377,724,2013,3,7,"13:02:38","2013-03-07","MBA6362269"
"2013-03-24 10:59:15","Sunshine",257,78,2013,3,24,"10:59:15","2013-03-24","MBA6362269"
"2013-03-24 11:08:51","Sunshine",257,78,2013,3,24,"11:08:51","2013-03-24","MBA6362269"
"2013-03-24 11:18:09","Sunshine",257,78,2013,3,24,"11:18:09","2013-03-24","MBA6362269"
"2013-03-24 11:31:08","Skyliner",1306,398,2013,3,24,"11:31:08","2013-03-24","MBA6362269"
"2013-03-24 12:01:30","Skyliner",1306,398,2013,3,24,"12:01:30","2013-03-24","MBA6362269"
"2013-03-24 12:41:57","Pine Marten",1367,416,2013,3,24,"12:41:57","2013-03-24","MBA6362269"
"2013-03-24 14:11:46","Sunrise",808,246,2013,3,24,"14:11:46","2013-03-24","MBA6362269"
"2013-04-07 10:02:15","Skyliner",1306,398,2013,4,7,"10:02:15","2013-04-07","MBA6362269"
"2013-04-07 10:20:16","Skyliner",1306,398,2013,4,7,"10:20:16","2013-04-07","MBA6362269"
"2013-04-07 10:37:39","Skyliner",1306,398,2013,4,7,"10:37:39","2013-04-07","MBA6362269"
"2013-04-07 10:53:02","Sunrise",808,246,2013,4,7,"10:53:02","2013-04-07","MBA6362269"
"2013-04-07 11:04:08","Rainbow",1209,368,2013,4,7,"11:04:08","2013-04-07","MBA6362269"
"2013-04-07 11:29:48","Rainbow",1209,368,2013,4,7,"11:29:48","2013-04-07","MBA6362269"
"2013-04-07 11:52:24","Sunrise",808,246,2013,4,7,"11:52:24","2013-04-07","MBA6362269"
"2013-04-07 12:20:53","Skyliner",1306,398,2013,4,7,"12:20:53","2013-04-07","MBA6362269"
"2013-04-07 12:37:13","Pine Marten",1367,416,2013,4,7,"12:37:13","2013-04-07","MBA6362269"
"2013-04-07 13:24:39","Outback",1780,542,2013,4,7,"13:24:39","2013-04-07","MBA6362269"
"2013-04-07 13:48:10","Outback",1780,542,2013,4,7,"13:48:10","2013-04-07","MBA6362269"
"2013-04-07 14:13:55","Outback",1780,542,2013,4,7,"14:13:55","2013-04-07","MBA6362269"
"2013-04-07 14:43:00","Pine Marten",1367,416,2013,4,7,"14:43:00","2013-04-07","MBA6362269"
"2014-02-09 10:32:06","Pine Marten",1367,416,2014,2,9,"10:32:06","2014-02-09","MBA6362269"
"2014-02-09 10:57:07","Pine Marten",1367,416,2014,2,9,"10:57:07","2014-02-09","MBA6362269"
"2014-02-09 11:20:00","Skyliner",1306,398,2014,2,9,"11:20:00","2014-02-09","MBA6362269"
"2014-02-09 11:38:05","Sunrise",808,246,2014,2,9,"11:38:05","2014-02-09","MBA6362269"
"2014-02-09 11:54:29","Rainbow",1209,368,2014,2,9,"11:54:29","2014-02-09","MBA6362269"
"2014-02-09 12:30:33","Rainbow",1209,368,2014,2,9,"12:30:33","2014-02-09","MBA6362269"
"2014-02-09 14:18:36","Sunrise",808,246,2014,2,9,"14:18:36","2014-02-09","MBA6362269"
"2014-02-09 14:34:13","Skyliner",1306,398,2014,2,9,"14:34:13","2014-02-09","MBA6362269"
"2014-02-09 15:06:48","Skyliner",1306,398,2014,2,9,"15:06:48","2014-02-09","MBA6362269"
"2014-04-01 10:41:21","Pine Marten",1367,416,2014,4,1,"10:41:21","2014-04-01","MBA6362269"
"2014-04-01 10:58:43","Pine Marten",1367,416,2014,4,1,"10:58:43","2014-04-01","MBA6362269"
"2014-04-01 11:14:38","Pine Marten",1367,416,2014,4,1,"11:14:38","2014-04-01","MBA6362269"
"2014-04-01 11:32:14","Skyliner",1306,398,2014,4,1,"11:32:14","2014-04-01","MBA6362269"
"2014-04-01 11:53:45","Skyliner",1306,398,2014,4,1,"11:53:45","2014-04-01","MBA6362269"
"2014-04-01 13:04:12","Pine Marten",1367,416,2014,4,1,"13:04:12","2014-04-01","MBA6362269"
"2014-04-01 13:20:30","Pine Marten",1367,416,2014,4,1,"13:20:30","2014-04-01","MBA6362269"
"2014-04-01 13:38:08","Pine Marten",1367,416,2014,4,1,"13:38:08","2014-04-01","MBA6362269"
"2014-04-28 10:02:55","Pine Marten",1367,416,2014,4,28,"10:02:55","2014-04-28","MBA6362269"
"2014-04-28 10:22:25","Pine Marten",1367,416,2014,4,28,"10:22:25","2014-04-28","MBA6362269"
"2014-04-28 10:48:51","Pine Marten",1367,416,2014,4,28,"10:48:51","2014-04-28","MBA6362269"
"2014-04-28 11:38:40","Northwest",2377,724,2014,4,28,"11:38:40","2014-04-28","MBA6362269"
"2014-04-28 12:12:00","Northwest",2377,724,2014,4,28,"12:12:00","2014-04-28","MBA6362269"
