"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2010-11-24 09:50:57","Pine Marten",1367,416,2010,11,24,"09:50:57","2010-11-24","MBA6364464"
"2010-11-24 10:09:49","Pine Marten",1367,416,2010,11,24,"10:09:49","2010-11-24","MBA6364464"
"2010-11-24 10:32:40","Pine Marten",1367,416,2010,11,24,"10:32:40","2010-11-24","MBA6364464"
"2010-11-24 10:49:43","Skyliner",1306,398,2010,11,24,"10:49:43","2010-11-24","MBA6364464"
"2010-11-24 11:05:34","Skyliner",1306,398,2010,11,24,"11:05:34","2010-11-24","MBA6364464"
"2010-11-24 11:23:01","Skyliner",1306,398,2010,11,24,"11:23:01","2010-11-24","MBA6364464"
"2010-11-24 11:46:29","Skyliner",1306,398,2010,11,24,"11:46:29","2010-11-24","MBA6364464"
"2010-12-02 11:14:43","Pine Marten",1367,416,2010,12,2,"11:14:43","2010-12-02","MBA6364464"
"2010-12-02 11:36:24","Pine Marten",1367,416,2010,12,2,"11:36:24","2010-12-02","MBA6364464"
"2010-12-02 11:54:05","Pine Marten",1367,416,2010,12,2,"11:54:05","2010-12-02","MBA6364464"
"2010-12-02 12:11:15","Pine Marten",1367,416,2010,12,2,"12:11:15","2010-12-02","MBA6364464"
"2010-12-02 12:25:52","Pine Marten",1367,416,2010,12,2,"12:25:52","2010-12-02","MBA6364464"
"2010-12-02 13:44:08","Pine Marten",1367,416,2010,12,2,"13:44:08","2010-12-02","MBA6364464"
"2010-12-02 13:58:11","Pine Marten",1367,416,2010,12,2,"13:58:11","2010-12-02","MBA6364464"
"2010-12-02 14:15:39","Pine Marten",1367,416,2010,12,2,"14:15:39","2010-12-02","MBA6364464"
"2010-12-02 14:29:42","Pine Marten",1367,416,2010,12,2,"14:29:42","2010-12-02","MBA6364464"
"2010-12-03 10:30:52","Pine Marten",1367,416,2010,12,3,"10:30:52","2010-12-03","MBA6364464"
"2010-12-03 10:49:39","Skyliner",1306,398,2010,12,3,"10:49:39","2010-12-03","MBA6364464"
"2010-12-03 11:10:05","Skyliner",1306,398,2010,12,3,"11:10:05","2010-12-03","MBA6364464"
"2010-12-03 11:37:13","Skyliner",1306,398,2010,12,3,"11:37:13","2010-12-03","MBA6364464"
"2010-12-03 11:53:53","Pine Marten",1367,416,2010,12,3,"11:53:53","2010-12-03","MBA6364464"
"2010-12-03 13:05:31","Pine Marten",1367,416,2010,12,3,"13:05:31","2010-12-03","MBA6364464"
"2010-12-03 13:21:19","Pine Marten",1367,416,2010,12,3,"13:21:19","2010-12-03","MBA6364464"
"2010-12-03 13:37:05","Pine Marten",1367,416,2010,12,3,"13:37:05","2010-12-03","MBA6364464"
"2010-12-03 13:53:26","Pine Marten",1367,416,2010,12,3,"13:53:26","2010-12-03","MBA6364464"
"2010-12-06 11:27:01","Pine Marten",1367,416,2010,12,6,"11:27:01","2010-12-06","MBA6364464"
"2010-12-06 11:58:46","Pine Marten",1367,416,2010,12,6,"11:58:46","2010-12-06","MBA6364464"
"2010-12-06 12:15:03","Skyliner",1306,398,2010,12,6,"12:15:03","2010-12-06","MBA6364464"
"2010-12-06 12:30:49","Skyliner",1306,398,2010,12,6,"12:30:49","2010-12-06","MBA6364464"
"2010-12-06 12:47:11","Skyliner",1306,398,2010,12,6,"12:47:11","2010-12-06","MBA6364464"
"2010-12-06 13:03:56","Skyliner",1306,398,2010,12,6,"13:03:56","2010-12-06","MBA6364464"
"2010-12-06 14:02:55","Pine Marten",1367,416,2010,12,6,"14:02:55","2010-12-06","MBA6364464"
"2010-12-06 14:19:57","Outback",1780,542,2010,12,6,"14:19:57","2010-12-06","MBA6364464"
"2010-12-06 14:44:00","Outback",1780,542,2010,12,6,"14:44:00","2010-12-06","MBA6364464"
"2010-12-12 10:01:05","Skyliner",1306,398,2010,12,12,"10:01:05","2010-12-12","MBA6364464"
"2010-12-12 10:15:23","Sunrise",808,246,2010,12,12,"10:15:23","2010-12-12","MBA6364464"
"2010-12-12 10:35:57","Sunrise",808,246,2010,12,12,"10:35:57","2010-12-12","MBA6364464"
"2010-12-12 10:45:25","Rainbow",1209,368,2010,12,12,"10:45:25","2010-12-12","MBA6364464"
"2010-12-12 11:04:20","Rainbow",1209,368,2010,12,12,"11:04:20","2010-12-12","MBA6364464"
"2010-12-12 11:25:32","Skyliner",1306,398,2010,12,12,"11:25:32","2010-12-12","MBA6364464"
"2010-12-16 10:07:14","Pine Marten",1367,416,2010,12,16,"10:07:14","2010-12-16","MBA6364464"
"2010-12-16 10:21:34","Pine Marten",1367,416,2010,12,16,"10:21:34","2010-12-16","MBA6364464"
"2010-12-16 10:35:18","Pine Marten",1367,416,2010,12,16,"10:35:18","2010-12-16","MBA6364464"
"2010-12-16 10:48:31","Pine Marten",1367,416,2010,12,16,"10:48:31","2010-12-16","MBA6364464"
"2010-12-16 11:06:03","Outback",1780,542,2010,12,16,"11:06:03","2010-12-16","MBA6364464"
"2010-12-16 11:22:16","Outback",1780,542,2010,12,16,"11:22:16","2010-12-16","MBA6364464"
"2010-12-16 12:33:15","Outback",1780,542,2010,12,16,"12:33:15","2010-12-16","MBA6364464"
"2010-12-16 12:49:07","Outback",1780,542,2010,12,16,"12:49:07","2010-12-16","MBA6364464"
"2010-12-16 13:05:59","Pine Marten",1367,416,2010,12,16,"13:05:59","2010-12-16","MBA6364464"
"2010-12-16 13:21:39","Pine Marten",1367,416,2010,12,16,"13:21:39","2010-12-16","MBA6364464"
"2010-12-17 13:24:36","Pine Marten",1367,416,2010,12,17,"13:24:36","2010-12-17","MBA6364464"
"2010-12-17 13:38:05","Pine Marten",1367,416,2010,12,17,"13:38:05","2010-12-17","MBA6364464"
"2010-12-17 13:49:37","Pine Marten",1367,416,2010,12,17,"13:49:37","2010-12-17","MBA6364464"
"2010-12-17 14:03:32","Outback",1780,542,2010,12,17,"14:03:32","2010-12-17","MBA6364464"
