"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2014-02-08 09:05:15","Pine Marten",1367,416,2014,2,8,"09:05:15","2014-02-08","MBA6361982"
"2014-02-08 09:32:43","Pine Marten",1367,416,2014,2,8,"09:32:43","2014-02-08","MBA6361982"
"2014-02-08 09:58:09","Pine Marten",1367,416,2014,2,8,"09:58:09","2014-02-08","MBA6361982"
"2014-02-08 10:24:50","Outback",1780,542,2014,2,8,"10:24:50","2014-02-08","MBA6361982"
"2014-02-08 10:56:50","Outback",1780,542,2014,2,8,"10:56:50","2014-02-08","MBA6361982"
"2014-02-22 09:08:10","Sunrise",808,246,2014,2,22,"09:08:10","2014-02-22","MBA6361982"
"2014-02-22 10:59:59","Sunrise",808,246,2014,2,22,"10:59:59","2014-02-22","MBA6361982"
"2014-02-22 11:33:24","Sunrise",808,246,2014,2,22,"11:33:24","2014-02-22","MBA6361982"
"2014-02-22 12:00:39","Sunrise",808,246,2014,2,22,"12:00:39","2014-02-22","MBA6361982"
"2014-02-22 13:19:30","Sunrise",808,246,2014,2,22,"13:19:30","2014-02-22","MBA6361982"
"2014-02-22 13:28:38","Summit",1709,520,2014,2,22,"13:28:38","2014-02-22","MBA6361982"
"2014-02-22 13:49:54","Rainbow",1209,368,2014,2,22,"13:49:54","2014-02-22","MBA6361982"
"2014-02-22 14:30:10","Sunrise",808,246,2014,2,22,"14:30:10","2014-02-22","MBA6361982"
"2014-02-22 14:55:51","Sunrise",808,246,2014,2,22,"14:55:51","2014-02-22","MBA6361982"
"2014-03-01 08:57:56","Skyliner",1306,398,2014,3,1,"08:57:56","2014-03-01","MBA6361982"
"2014-03-01 09:11:21","Skyliner",1306,398,2014,3,1,"09:11:21","2014-03-01","MBA6361982"
"2014-03-01 09:25:06","Skyliner",1306,398,2014,3,1,"09:25:06","2014-03-01","MBA6361982"
"2014-03-01 09:38:41","Skyliner",1306,398,2014,3,1,"09:38:41","2014-03-01","MBA6361982"
"2014-03-01 09:56:36","Sunrise",808,246,2014,3,1,"09:56:36","2014-03-01","MBA6361982"
"2014-03-01 10:07:47","Rainbow",1209,368,2014,3,1,"10:07:47","2014-03-01","MBA6361982"
"2014-03-01 10:27:27","Rainbow",1209,368,2014,3,1,"10:27:27","2014-03-01","MBA6361982"
"2014-03-01 10:49:25","Rainbow",1209,368,2014,3,1,"10:49:25","2014-03-01","MBA6361982"
"2014-03-29 10:03:59","Pine Marten",1367,416,2014,3,29,"10:03:59","2014-03-29","MBA6361982"
"2014-03-29 10:44:06","Northwest",2377,724,2014,3,29,"10:44:06","2014-03-29","MBA6361982"
"2014-03-29 11:30:23","Northwest",2377,724,2014,3,29,"11:30:23","2014-03-29","MBA6361982"
"2014-03-29 12:02:58","Northwest",2377,724,2014,3,29,"12:02:58","2014-03-29","MBA6361982"
"2014-03-29 12:33:29","Northwest",2377,724,2014,3,29,"12:33:29","2014-03-29","MBA6361982"
"2014-03-29 13:09:53","Northwest",2377,724,2014,3,29,"13:09:53","2014-03-29","MBA6361982"
"2014-04-05 09:49:09","Pine Marten",1367,416,2014,4,5,"09:49:09","2014-04-05","MBA6361982"
"2014-04-05 10:04:08","Northwest",2377,724,2014,4,5,"10:04:08","2014-04-05","MBA6361982"
"2014-04-05 10:30:30","Northwest",2377,724,2014,4,5,"10:30:30","2014-04-05","MBA6361982"
"2014-04-05 10:51:23","Northwest",2377,724,2014,4,5,"10:51:23","2014-04-05","MBA6361982"
"2014-04-05 11:19:33","Pine Marten",1367,416,2014,4,5,"11:19:33","2014-04-05","MBA6361982"
"2014-04-05 12:36:48","Sunshine",257,78,2014,4,5,"12:36:48","2014-04-05","MBA6361982"
"2014-04-05 12:44:05","Skyliner",1306,398,2014,4,5,"12:44:05","2014-04-05","MBA6361982"
"2014-04-05 12:57:04","Skyliner",1306,398,2014,4,5,"12:57:04","2014-04-05","MBA6361982"
"2014-04-05 13:09:48","Rainbow",1209,368,2014,4,5,"13:09:48","2014-04-05","MBA6361982"
"2014-04-05 13:31:24","Rainbow",1209,368,2014,4,5,"13:31:24","2014-04-05","MBA6361982"
