"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2006-03-07 12:40:35","Pine Marten",1367,416,2006,3,7,"12:40:35","2006-03-07","MBA6361789"
"2006-03-07 12:53:29","Pine Marten",1367,416,2006,3,7,"12:53:29","2006-03-07","MBA6361789"
"2006-03-07 13:08:42","Outback",1780,542,2006,3,7,"13:08:42","2006-03-07","MBA6361789"
"2006-03-07 13:32:42","Pine Marten",1367,416,2006,3,7,"13:32:42","2006-03-07","MBA6361789"
"2006-03-07 13:53:41","Outback",1780,542,2006,3,7,"13:53:41","2006-03-07","MBA6361789"
"2006-03-07 14:14:13","Northwest",2377,724,2006,3,7,"14:14:13","2006-03-07","MBA6361789"
"2006-03-07 14:45:57","Northwest",2377,724,2006,3,7,"14:45:57","2006-03-07","MBA6361789"
"2006-03-07 15:06:17","Outback",1780,542,2006,3,7,"15:06:17","2006-03-07","MBA6361789"
"2006-03-07 15:30:07","Pine Marten",1367,416,2006,3,7,"15:30:07","2006-03-07","MBA6361789"
"2006-03-09 10:36:36","Pine Marten",1367,416,2006,3,9,"10:36:36","2006-03-09","MBA6361789"
"2006-03-09 10:53:53","Pine Marten",1367,416,2006,3,9,"10:53:53","2006-03-09","MBA6361789"
"2006-03-09 11:14:38","Outback",1780,542,2006,3,9,"11:14:38","2006-03-09","MBA6361789"
"2006-03-09 11:34:35","Outback",1780,542,2006,3,9,"11:34:35","2006-03-09","MBA6361789"
"2006-03-09 11:53:06","Outback",1780,542,2006,3,9,"11:53:06","2006-03-09","MBA6361789"
"2006-03-09 12:13:06","Outback",1780,542,2006,3,9,"12:13:06","2006-03-09","MBA6361789"
"2006-03-09 13:10:33","Outback",1780,542,2006,3,9,"13:10:33","2006-03-09","MBA6361789"
"2006-03-09 13:32:14","Outback",1780,542,2006,3,9,"13:32:14","2006-03-09","MBA6361789"
"2006-03-09 13:50:41","Skyliner",1306,398,2006,3,9,"13:50:41","2006-03-09","MBA6361789"
"2006-03-09 14:05:33","Skyliner",1306,398,2006,3,9,"14:05:33","2006-03-09","MBA6361789"
"2006-03-09 14:51:09","Pine Marten",1367,416,2006,3,9,"14:51:09","2006-03-09","MBA6361789"
"2006-03-09 15:02:27","Pine Marten",1367,416,2006,3,9,"15:02:27","2006-03-09","MBA6361789"
"2006-03-09 15:15:00","Pine Marten",1367,416,2006,3,9,"15:15:00","2006-03-09","MBA6361789"
"2006-03-09 15:27:00","Pine Marten",1367,416,2006,3,9,"15:27:00","2006-03-09","MBA6361789"
"2006-03-10 12:41:18","Pine Marten",1367,416,2006,3,10,"12:41:18","2006-03-10","MBA6361789"
"2006-03-10 12:58:59","Outback",1780,542,2006,3,10,"12:58:59","2006-03-10","MBA6361789"
"2006-03-10 13:16:47","Skyliner",1306,398,2006,3,10,"13:16:47","2006-03-10","MBA6361789"
"2006-03-10 13:50:00","Skyliner",1306,398,2006,3,10,"13:50:00","2006-03-10","MBA6361789"
"2006-03-10 14:06:52","Skyliner",1306,398,2006,3,10,"14:06:52","2006-03-10","MBA6361789"
"2006-03-10 14:24:42","Skyliner",1306,398,2006,3,10,"14:24:42","2006-03-10","MBA6361789"
"2006-03-10 14:40:28","Sunrise",808,246,2006,3,10,"14:40:28","2006-03-10","MBA6361789"
"2006-03-11 11:32:35","Pine Marten",1367,416,2006,3,11,"11:32:35","2006-03-11","MBA6361789"
"2006-03-11 11:59:00","Pine Marten",1367,416,2006,3,11,"11:59:00","2006-03-11","MBA6361789"
"2006-03-11 12:02:56","Pine Marten",1367,416,2006,3,11,"12:02:56","2006-03-11","MBA6361789"
"2006-03-11 12:27:00","Sunshine",257,78,2006,3,11,"12:27:00","2006-03-11","MBA6361789"
"2006-03-11 12:27:55","Sunshine",257,78,2006,3,11,"12:27:55","2006-03-11","MBA6361789"
"2006-03-11 12:42:00","Sunshine",257,78,2006,3,11,"12:42:00","2006-03-11","MBA6361789"
"2006-03-11 12:44:01","Sunshine",257,78,2006,3,11,"12:44:01","2006-03-11","MBA6361789"
"2006-03-11 12:57:00","Sunshine",257,78,2006,3,11,"12:57:00","2006-03-11","MBA6361789"
"2006-03-11 13:00:10","Sunshine",257,78,2006,3,11,"13:00:10","2006-03-11","MBA6361789"
"2006-03-11 13:20:00","Sunshine",257,78,2006,3,11,"13:20:00","2006-03-11","MBA6361789"
"2006-03-11 13:25:05","Sunshine",257,78,2006,3,11,"13:25:05","2006-03-11","MBA6361789"
"2006-03-11 13:26:00","Skyliner",1306,398,2006,3,11,"13:26:00","2006-03-11","MBA6361789"
"2006-03-11 13:34:16","Skyliner",1306,398,2006,3,11,"13:34:16","2006-03-11","MBA6361789"
"2006-03-11 13:41:00","Skyliner",1306,398,2006,3,11,"13:41:00","2006-03-11","MBA6361789"
"2006-03-11 13:48:12","Skyliner",1306,398,2006,3,11,"13:48:12","2006-03-11","MBA6361789"
"2006-03-11 13:55:00","Skyliner",1306,398,2006,3,11,"13:55:00","2006-03-11","MBA6361789"
"2006-03-11 14:02:24","Skyliner",1306,398,2006,3,11,"14:02:24","2006-03-11","MBA6361789"
"2006-04-19 11:50:18","Skyliner",1306,398,2006,4,19,"11:50:18","2006-04-19","MBA6361789"
"2006-04-19 12:00:38","Skyliner",1306,398,2006,4,19,"12:00:38","2006-04-19","MBA6361789"
"2006-04-19 12:09:26","Summit",1709,520,2006,4,19,"12:09:26","2006-04-19","MBA6361789"
"2006-04-19 12:24:16","Summit",1709,520,2006,4,19,"12:24:16","2006-04-19","MBA6361789"
"2006-04-19 12:38:01","Summit",1709,520,2006,4,19,"12:38:01","2006-04-19","MBA6361789"
"2006-04-19 12:53:57","Skyliner",1306,398,2006,4,19,"12:53:57","2006-04-19","MBA6361789"
"2006-04-19 13:10:50","Skyliner",1306,398,2006,4,19,"13:10:50","2006-04-19","MBA6361789"
"2006-04-19 13:21:48","Pine Marten",1367,416,2006,4,19,"13:21:48","2006-04-19","MBA6361789"
"2006-04-19 13:31:34","Pine Marten",1367,416,2006,4,19,"13:31:34","2006-04-19","MBA6361789"
"2006-04-19 13:44:34","Skyliner",1306,398,2006,4,19,"13:44:34","2006-04-19","MBA6361789"
