"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2009-12-14 11:08:08","Sunshine",257,78,2009,12,14,"11:08:08","2009-12-14","MBA6362525"
"2009-12-14 11:22:06","Skyliner",1306,398,2009,12,14,"11:22:06","2009-12-14","MBA6362525"
"2009-12-14 12:33:00","Sunrise",808,246,2009,12,14,"12:33:00","2009-12-14","MBA6362525"
"2009-12-14 12:52:48","Sunrise",808,246,2009,12,14,"12:52:48","2009-12-14","MBA6362525"
"2009-12-14 13:15:04","Sunrise",808,246,2009,12,14,"13:15:04","2009-12-14","MBA6362525"
"2009-12-14 13:32:54","Sunrise",808,246,2009,12,14,"13:32:54","2009-12-14","MBA6362525"
"2010-01-04 11:40:21","Sunrise",808,246,2010,1,4,"11:40:21","2010-01-04","MBA6362525"
"2010-01-04 12:06:03","Sunrise",808,246,2010,1,4,"12:06:03","2010-01-04","MBA6362525"
"2010-01-04 13:24:06","Sunrise",808,246,2010,1,4,"13:24:06","2010-01-04","MBA6362525"
"2010-01-04 13:33:52","Sunrise",808,246,2010,1,4,"13:33:52","2010-01-04","MBA6362525"
"2010-01-04 13:43:08","Sunrise",808,246,2010,1,4,"13:43:08","2010-01-04","MBA6362525"
"2010-01-23 11:42:25","Sunrise",808,246,2010,1,23,"11:42:25","2010-01-23","MBA6362525"
"2010-01-23 12:11:23","Sunrise",808,246,2010,1,23,"12:11:23","2010-01-23","MBA6362525"
"2010-01-23 12:29:24","Sunrise",808,246,2010,1,23,"12:29:24","2010-01-23","MBA6362525"
"2010-01-23 12:36:19","Summit",1709,520,2010,1,23,"12:36:19","2010-01-23","MBA6362525"
"2010-01-23 13:19:27","Sunrise",808,246,2010,1,23,"13:19:27","2010-01-23","MBA6362525"
"2010-01-23 13:53:03","Sunrise",808,246,2010,1,23,"13:53:03","2010-01-23","MBA6362525"
"2010-01-23 14:29:55","Skyliner",1306,398,2010,1,23,"14:29:55","2010-01-23","MBA6362525"
"2010-02-08 11:26:31","Sunrise",808,246,2010,2,8,"11:26:31","2010-02-08","MBA6362525"
"2010-02-08 11:41:20","Sunrise",808,246,2010,2,8,"11:41:20","2010-02-08","MBA6362525"
"2010-02-08 11:57:04","Sunrise",808,246,2010,2,8,"11:57:04","2010-02-08","MBA6362525"
"2010-02-08 12:04:00","Summit",1709,520,2010,2,8,"12:04:00","2010-02-08","MBA6362525"
